,,,,," 19,388,231.64 ",
Invoice Date,Supplier Name,Supplier Country,Taxable basis,Currency,Tax to pay,Runing Total
20190531,CEBI LUXEMBOURG SA,Luxembourg,259.86,EUR,90.95,51470.53
20190531,CEBI LUXEMBOURG SA,Luxembourg,349.32,EUR,122.26,51592.79
20190531,CEBI LUXEMBOURG SA,Luxembourg,289.68,EUR,101.39,51694.18
20190531,CEBI LUXEMBOURG SA,Luxembourg,1480.92,EUR,518.32,52212.5
20190531,CEBI LUXEMBOURG SA,Luxembourg,443.04,EUR,155.06,52367.56
20190531,CEBI LUXEMBOURG SA,Luxembourg,326.6,EUR,114.31,52481.87
20190531,CEBI LUXEMBOURG SA,Luxembourg,681.6,EUR,238.56,52720.43
20190531,CEBI LUXEMBOURG SA,Luxembourg,356.42,EUR,124.75,52845.18
20190531,CEBI LUXEMBOURG SA,Luxembourg,842.06,EUR,294.72,53139.9
20190531,CEBI LUXEMBOURG SA,Luxembourg,911.64,EUR,319.07,53458.97
20190531,CEBI LUXEMBOURG SA,Luxembourg,455.82,EUR,159.54,53618.51
20190531,CEBI LUXEMBOURG SA,Luxembourg,2279.1,EUR,797.68,54416.19
20190531,CEBI LUXEMBOURG SA,Luxembourg,1823.28,EUR,638.15,55054.34
20190531,CEBI LUXEMBOURG SA,Luxembourg,259.86,EUR,90.95,55145.29
20190531,CEBI LUXEMBOURG SA,Luxembourg,552.38,EUR,193.33,55338.62
20190531,CEBI LUXEMBOURG SA,Luxembourg,842.06,EUR,294.72,55633.34
20190531,CEBI LUXEMBOURG SA,Luxembourg,1823.28,EUR,638.15,56271.49
20190531,CEBI LUXEMBOURG SA,Luxembourg,1823.28,EUR,638.15,56909.64
20190531,CEBI LUXEMBOURG SA,Luxembourg,1823.28,EUR,638.15,57547.79
20190531,CEBI LUXEMBOURG SA,Luxembourg,1039.44,EUR,363.8,57911.59
20190531,CEBI LUXEMBOURG SA,Luxembourg,1068.98,EUR,374.14,58285.73
20190531,CEBI LUXEMBOURG SA,Luxembourg,399.02,EUR,139.66,58425.39
20190531,CEBI LUXEMBOURG SA,Luxembourg,1469.42,EUR,514.3,58939.69
20190630,CEBI LUXEMBOURG SA,Luxembourg,1295.04,EUR,453.26,59392.95
20190630,CEBI LUXEMBOURG SA,Luxembourg,525.4,EUR,183.89,59576.84
20190630,CEBI LUXEMBOURG SA,Luxembourg,455.82,EUR,159.54,59736.38
20190630,CEBI LUXEMBOURG SA,Luxembourg,859.1,EUR,300.69,60037.07
20190630,CEBI LUXEMBOURG SA,Luxembourg,1357.52,EUR,475.13,60512.2
20190630,CEBI LUXEMBOURG SA,Luxembourg,1331.96,EUR,466.19,60978.39
20190630,CEBI LUXEMBOURG SA,Luxembourg,399.02,EUR,139.66,61118.05
20190630,CEBI LUXEMBOURG SA,Luxembourg,264.12,EUR,92.44,61210.49
20190630,CEBI LUXEMBOURG SA,Luxembourg,491.32,EUR,171.96,61382.45
20190630,CEBI LUXEMBOURG SA,Luxembourg,675.92,EUR,236.57,61619.02
20190630,CEBI LUXEMBOURG SA,Luxembourg,729.88,EUR,255.46,61874.48
20190630,CEBI LUXEMBOURG SA,Luxembourg,911.64,EUR,319.07,62193.55
20190630,CEBI LUXEMBOURG SA,Luxembourg,450.14,EUR,157.55,62351.1
20190630,CEBI LUXEMBOURG SA,Luxembourg,356.42,EUR,124.75,62475.85
20190630,CEBI LUXEMBOURG SA,Luxembourg,380.56,EUR,133.2,62609.05
20190630,CEBI LUXEMBOURG SA,Luxembourg,1367.46,EUR,478.61,63087.66
20190601,"DEUTSCHE BANK GRUPPE, LUXEMBURG",Luxembourg,1367.46,EUR,478.61,63566.27
20190601,"DEUTSCHE BANK GRUPPE, LUXEMBURG",Luxembourg,455.82,EUR,159.54,63725.81
20190630,CEBI LUXEMBOURG SA,Luxembourg,455.82,EUR,159.54,63885.35
