Account,Doc. Date,DocumentNo,Type,PK,Amount in LC,Tx,LCurr,Company,Localité
8125200000,2019-01-31,1118001162,KR,40,"-2016,02",Y3,USD,Lombard International Assurance SA,Luxembourg
8124200000,2019-02-13,1118000341,KR,40,"-2515,37",Y1,USD,Seris Security SARL,Luxembourg
8124200000,2019-07-08,1118001431,KR,40,"-1294,77",Y1,USD,Seris Security SARL,Luxembourg
9300100002,2019-08-12,1118002066,KR,70,"459,4",Y1,USD,Jost Group SA,Luxembourg
9300100002,2019-08-12,1118002066,KR,70,"459,4",Y1,USD,Jost Group SA,Luxembourg
9300100002,2019-08-12,1118002066,KR,70,"-222,05",Y1,USD,Jost Group SA,Luxembourg
9300100002,2019-08-12,1118002066,KR,70,"107,21",Y1,USD,Jost Group SA,Luxembourg
9300100002,2019-08-12,1118002066,KR,70,"45,92",Y1,USD,Jost Group SA,Luxembourg
9300100002,2019-08-12,1118002066,KR,70,"22,98",Y1,USD,Jost Group SA,Luxembourg
9300100002,2019-08-07,1118002067,KR,70,"7,64",Y1,USD,Jost Group SA,Luxembourg
9300100002,2019-08-07,1118002067,KR,70,"-10070,64",Y1,USD,Jost Group SA,Luxembourg
9300100002,2019-08-14,1118002068,KR,70,"1148,5",Y1,USD,Jost Group SA,Luxembourg
9300100002,2019-10-11,1118002815,KR,70,"-132,78",Y1,USD,Jost Group SA,Luxembourg
8124200000,2018-12-06,1118002933,KR,50,"-1338,62",Y1,USD,Seris Security SARL,Luxembourg
8124200000,2018-12-06,1118002938,KR,40,"272,64",Y1,USD,Seris Security SARL,Luxembourg
8127900008,2019-02-13,1118000279,KR,40,"-6900,6",Y3,USD,Bati C SA,Luxembourg
8127900008,2019-04-30,1118000983,KR,40,"-1299,57",Y3,USD,Bati C SA,Luxembourg
8127900008,2019-07-09,1118002258,KR,40,"61,29",Y3,USD,Bati C SA,Luxembourg
8124100001,2019-01-02,1118000071,KR,40,"-0,01",Y1,USD,Banque Centrale du Luxembourg,Luxembourg
8124100001,2019-01-22,1118000163,KR,40,"-663,14",V0,USD,Banque Centrale du Luxembourg,Luxembourg
8124100001,2019-02-19,1118000365,KR,40,"-447,3",Y1,USD,Banque Centrale du Luxembourg,Luxembourg
8124100001,2019-03-19,1118000629,KR,40,"-234,3",Y1,USD,Banque Centrale du Luxembourg,Luxembourg
8124100001,2019-04-09,1118000764,KR,40,"-1287,87",Y1,USD,Banque Centrale du Luxembourg,Luxembourg
8124100001,2019-05-07,1118000980,KR,40,"616,28",V0,USD,Banque Centrale du Luxembourg,Luxembourg
8124100001,2019-05-27,1118001140,KR,40,"455,82",Y1,USD,Banque Centrale du Luxembourg,Luxembourg
8124100001,2019-06-18,1118001340,KR,40,"951,4",Y1,USD,Banque Centrale du Luxembourg,Luxembourg
8124100001,2019-06-25,1118001541,KR,40,"2067,29",Y1,USD,Banque Centrale du Luxembourg,Luxembourg
8124100001,2019-07-30,1118001689,KR,40,"681,6",Y1,USD,Banque Centrale du Luxembourg,Luxembourg
8124100001,2019-08-13,1118001995,KR,40,"-249,92",Y1,USD,Banque Centrale du Luxembourg,Luxembourg
8124100001,2019-09-24,1118002567,KR,40,"682,45",V0,USD,Banque Centrale du Luxembourg,Luxembourg
8124200000,2019-02-21,1118000583,KR,40,"603,02",Y3,USD,Seris Security SARL,Luxembourg
8124200000,2019-06-21,1118001338,KR,40,"-198,89",Y3,USD,Seris Security SARL,Luxembourg
8124200000,2019-11-20,1118003032,KR,40,"-302,94",Y3,USD,Seris Security SARL,Luxembourg
8124200000,2019-04-16,1118000907,KR,40,"-188,86",Y3,USD,Seris Security SARL,Luxembourg
8124200000,2019-07-17,1118002806,KR,40,"-140,58",Y3,USD,Seris Security SARL,Luxembourg
8127320000,2018-12-31,1118000336,KR,40,"-381,63",Y1,USD,Northern Trust Global Services SE,Luxembourg
9300100002,2019-01-31,1118000579,KR,70,"-411,8",Y1,USD,Jost Group SA,Luxembourg
9300100002,2019-03-31,1118000755,KR,70,"-310,98",Y1,USD,Jost Group SA,Luxembourg
9300100002,2019-06-30,1118001680,KR,70,"-746,56",Y1,USD,Jost Group SA,Luxembourg
9300100002,2019-05-31,1118001707,KR,70,"-221,52",Y3,USD,Jost Group SA,Luxembourg
9300100002,2018-12-31,1118001762,KR,70,"-650,36",Y1,USD,Jost Group SA,Luxembourg
9300100002,2019-05-31,1118002453,KR,75,"-650,36",Y3,USD,Jost Group SA,Luxembourg
9300100002,2019-05-31,1118002455,KR,70,"-247,08",Y1,USD,Jost Group SA,Luxembourg
8127320000,2019-08-31,1118002580,KR,40,"-329,44",Y1,USD,Northern Trust Global Services SE,Luxembourg
9300100002,2019-09-30,1118003002,KR,70,"-115,02",Y1,USD,Jost Group SA,Luxembourg
8127200000,2018-11-16,1118000059,KR,40,"-333,7",Y3,USD,Groupe Soludec,lux
8127200000,2018-12-16,1118000084,KR,40,"-477,12",Y5,USD,Groupe Soludec,lux
